Symbol: Ni
Atomic Number: 28
Atomic Mass: 58.693000
Start Spectral Index: 28
27 0.039113
4 0.039268
4 0.039324
5 0.039391
5 0.039431
5 0.039524
5 0.040059
16 0.040768
16 0.040790
15 0.040921
16 0.041054
22 0.041225
17 0.041237
18 0.041640
15 0.041696
17 0.042101
4 0.042440
16 0.043154
16 0.043431
18 0.043670
18 0.043830
15 0.043993
17 0.044128
25 0.044385
28 0.044419
4 0.044421
16 0.045350
17 0.046153
23 0.046540
16 0.046618
4 0.046967
21 0.047114
21 0.047113
4 0.047124
16 0.047162
22 0.047760
4 0.048542
25 0.049950
21 0.051401
22 0.052433
22 0.052433
4 0.053628
4 0.053796
26 0.056338
18 0.057270
18 0.057340
25 0.058207
18 0.058650
18 0.058720
18 0.059400
24 0.060995
24 0.060990
23 0.061490
23 0.061480
3 0.062568
3 0.063071
18 0.063100
22 0.063480
3 0.063754
18 0.064000
3 0.066237
3 0.066357
22 0.066516
22 0.066516
3 0.067694
22 0.068980
22 0.068980
20 0.069462
20 0.069464
3 0.070017
3 0.071333
3 0.071338
3 0.071848
23 0.071860
3 0.072126
3 0.072209
3 0.072520
3 0.072982
3 0.073011
17 0.073100
3 0.073170
3 0.073216
18 0.073400
3 0.073826
3 0.074799
3 0.074968
3 0.075005
3 0.075202
3 0.075780
3 0.075827
3 0.075873
25 0.076464
3 0.077022
3 0.077204
17 0.077710
3 0.077881
21 0.077925
21 0.077950
3 0.078502
3 0.078804
3 0.078830
18 0.080500
3 0.080501
3 0.081157
3 0.082614
3 0.082650
3 0.084214
3 0.084524
3 0.084743
3 0.085709
18 0.085760
3 0.086064
3 0.086288
3 0.086322
3 0.086751
3 0.086970
3 0.087084
18 0.089850
18 0.090170
23 0.091100
17 0.092880
25 0.094340
3 0.097379
3 0.097959
13 0.102212
22 0.102460
14 0.103488
27 0.106400
22 0.107390
14 0.117472
21 0.119105
12 0.122503
13 0.127723
2 0.131722
27 0.131800
2 0.133520
4 0.134572
4 0.135707
2 0.137014
12 0.137076
4 0.139819
4 0.141145
4 0.141958
4 0.142122
4 0.142745
3 0.142887
4 0.142893
3 0.143431
4 0.143524
4 0.143882
4 0.144901
3 0.145150
4 0.145222
4 0.145542
28 0.146300
4 0.147081
4 0.147263
4 0.147682
4 0.148225
4 0.148953
4 0.148983
4 0.149301
4 0.149367
4 0.149700
4 0.149700
4 0.149871
4 0.149877
4 0.149890
4 0.149997
28 0.150000
18 0.150600
11 0.151026
4 0.151125
4 0.151274
4 0.151636
4 0.151636
4 0.151666
4 0.152063
4 0.152531
4 0.152768
4 0.152780
4 0.152978
4 0.152978
4 0.153098
4 0.153098
4 0.153471
4 0.153725
